"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Spagna","25","52"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Belgio","7","9"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Norvegia","5","7"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Svizzera (incluso Liechtenstein)","11","16"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Austria","4","6"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Malta","4","14"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Turchia","6","117"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Polonia","10","53"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Repubblica Ceca","7","7"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Ungheria","2","3"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Romania","2","6"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Bulgaria","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Ucraina","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Bielorussia","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Moldavia","1","4"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Slovenia","14","123"
